event_id,event_date,title,location_description,region,landslide_category,trigger,size,fatality_count,latitude,longitude,source_name
6214,2014-05-10,Jorabat-Umiam route,Jorabat-Umiam route,Meghalaya,landslide,rain,medium,1,25.9702,91.8587,The Telegraph
2257,2010-08-16,"badrinath route, Lambagarh(?), Uttarakhand","badrinath route, Lambagarh(?), Uttarakhand",Uttarakhand,landslide,downpour,medium,0,30.7284,79.4971,english.ntdtv
5052,2013-07-07,"A Nullah Near The Government Hospital In Mandi, Himachal Pradesh","A Nullah Near The Government Hospital In Mandi, Himachal Pradesh",Himachal Pradesh,landslide,downpour,medium,0,31.7093,76.9297,articles.timesofindia.indiatimes.com
7329,2015-08-18,the Sikh shrine in Manikaran,the Sikh shrine in Manikaran,Himachal Pradesh,rock_fall,rain,medium,8,32.0275,77.3446,Hindustan Times
3944,2011-08-25,"Hee-Khola, Sikkim","Hee-Khola, Sikkim",,landslide,downpour,medium,2,27.7344,88.633,ibnlive.in
4411,2012-06-14,"Tathangchen, Gangtok, Sikkim","Tathangchen, Gangtok, Sikkim",Sikkim,landslide,downpour,medium,0,27.339,88.6065,isikkim.com
7296,2015-07-24,Kempty Road near Kandikhal,Kempty Road near Kandikhal,Uttarakhand,landslide,continuous_rain,medium,0,30.416,78.3415,The Times of India
2463,2010-09-19,"Theog-Kotkhai-Jubbal road, Himachal Pradesh","Theog-Kotkhai-Jubbal road, Himachal Pradesh",Himachal Pradesh,landslide,downpour,medium,0,31.1191,77.5092,himachal.us
252,2007-09-09,"Mao in Manipur, Phipema and Chunikhudima in Nagaland","Mao in Manipur, Phipema and Chunikhudima in Nagaland",Nāgāland,landslide,rain,medium,0,25.4993,94.1192,kanglaonline.com
4033,2011-03-11,"Palani-Kodaikanal Ghat road, Kodaikanal","Palani-Kodaikanal Ghat road, Kodaikanal",Tamil Nadu,landslide,downpour,medium,0,10.2445,77.5146,deccanchronicle
3578,2011-07-06,"Rishikesh-Badrinath hwy., near Sirobgarh(Sirobagad), Rudraprayag district, Uttarakhand","Rishikesh-Badrinath hwy., near Sirobgarh(Sirobagad), Rudraprayag district, Uttarakhand",Uttarakhand,landslide,downpour,medium,0,30.2414,78.908,english.samaylive
7297,2015-07-28,Kedarnath Yatra,Kedarnath Yatra,Uttarakhand,landslide,continuous_rain,small,0,30.7204,79.0758,ANI News
6842,2015-02-03,Magarkote,Magarkote,Kashmir,landslide,continuous_rain,medium,0,33.3296,75.203,Daily Excelsior
7920,2016-06-26,"Goddess Nijabankeswari Temple, Digapahandi, Ganjam district, Odisha, India","Goddess Nijabankeswari Temple, Digapahandi, Ganjam district, Odisha, India",Odisha,landslide,downpour,medium,0,19.3805,84.5699,Prameyan News 7
142,2007-07-27,Tura,Tura,Meghālaya,rock_fall,rain,large,8,25.5212,90.232,Telegraph India
7157,2015-10-07,Pahalgam,Pahalgam,Kashmir,landslide,continuous_rain,medium,2,34.0404,75.3156,onmanorama
7384,2015-01-08,"Wayang, Khengjoi","Wayang, Khengjoi",Manipur,landslide,rain,medium,0,23.9278,94.0906,Hindustan Times
